NO,NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude,X,Y,,,,,,,,,,,,,,,,
489,Pondok ijo,Non Bintang,Akomodasi Lain,6,Ngadinegaran MJ III/93 RT 11/ RW 03,-7.816763632,110.3647286,,,,,,,,,,,,,,,,,,
490,Pondok Yasmine Heritage Homestay Sumiyono,Non Bintang,Pondok Wisata,5,Jl. Lobaningratan,-7.801376012,110.3712547,,,,,,,,,,,,,,,,,,
491,Pondok Keluarga Mugi Remen,Non Bintang,Akomodasi Lain,7,Minggiran Bru MJ II/942 RT 48/RW 14,-7.820348646,110.360484,,,,,,,,,,,,,,,,,,
492,Pondok Moalim Malioboro,Non Bintang,Akomodasi Lain,16,GG Sosrokusuman DN I/177,-7.793651891,110.3671144,,,,,,,,,,,,,,,,,,
493,Pondok Monggolo,Non Bintang,Akomodasi Lain,4,Sudagaran TR III/820 RT 42/RW 12,-7.793061979,110.3580714,,,,,,,,,,,,,,,,,,
494,Pondok Parador Homestay,Non Bintang,Akomodasi Lain,6,Panjaitan No. 51,-7.8186078,110.3620833,,,,,,,,,,,,,,,,,,
495,Pondok Rejeki,Non Bintang,Akomodasi Lain,5,Sosrowijayan No. 48 RT 15/RW 03,-7.785936736,110.3612408,,,,,,,,,,,,,,,,,,
496,Pondok Safa Homestay,Non Bintang,Akomodasi Lain,2,Sosrowijayan Wetan GT 1/104,-7.791078389,110.3632455,,,,,,,,,,,,,,,,,,
497,Pondok Samodra,Non Bintang,Akomodasi Lain,10,Pajeksan GT I/612 RT 36/RW 09,-7.794505343,110.3642264,,,,,,,,,,,,,,,,,,
498,Pondok Sare,Non Bintang,Akomodasi Lain,8,Jl. Panjaitan GG NGadinegaran MJ III/151,-7.815725944,110.3633014,,,,,,,,,,,,,,,,,,
499,Pondok Terra Vila,Non Bintang,Pondok Wisata,4,Ngadinegaran Gang Melati 103 B,-7.816881544,110.3655477,,,,,,,,,,,,,,,,,,
500,Pondok Tuman Homestay,Non Bintang,Akomodasi Lain,20,Hos Cokroaminoto No. 11A,-7.800421058,110.3518067,,,,,,,,,,,,,,,,,,
501,Pondokan Mataram,Non Bintang,Akomodasi Lain,17,Mataram No. 41,-7.794340631,110.3683916,,,,,,,,,,,,,,,,,,
502,Pop Malioboro Hotel,Bintang,Bintang Dua,103,Jl. Gandekan Lor No. 92,-7.790540919,110.3619955,,,,,,,,,,,,,,,,,,
503,Pop Sangaji Hotel,Bintang,Bintang Dua,150,Jl. AM Sangaji No. 16 - 18,-7.781146934,110.3676449,,,,,,,,,,,,,,,,,,
504,Pop Timoho Hotel,Bintang,Bintang dua,126,Jl. IPDA Tut Harsono No. 11 Mujamuju,-7.798325086,110.3913918,,,,,,,,,,,,,,,,,,
505,Pose In Hotel,Non Bintang,Melati,24,Jl. May Jend Sutoyo no. 62,-7.81451706,110.3663026,,,,,,,,,,,,,,,,,,
506,Prambanan Guest House,Non Bintang,Pondok Wisata,14,Jl. Prawirotaman No. 14,-7.818407514,110.3698625,,,,,,,,,,,,,,,,,,
507,Prambanan Guest House,Non Bintang,Melati,9,Sosrokusuman DN 1/111,-7.793703791,110.3668868,,,,,,,,,,,,,,,,,,
508,Prayogo 3 Hotel,Non Bintang,Melati,18,Jl. Prawirotaman No. 34,-7.819137758,110.3719801,,,,,,,,,,,,,,,,,,
509,prayogo Baru Hotel,Non Bintang,Melati,30,Jl. Prawirotaman 2 MG III No. 611,-7.819109788,110.3716804,,,,,,,,,,,,,,,,,,
510,Prayogo Lama Hotel,Non Bintang,Melati,30,Prawirotaman 1 No. 34,-7.819174042,110.3721368,,,,,,,,,,,,,,,,,,
511,Prima In Hotel,Bintang,Bintang Tiga,77,Jl. Gandekan Lor No. 47,-7.790795451,110.3616368,,,,,,,,,,,,,,,,,,
512,Prime Cailendra Hotel,Non Bintang,Melati,28,Jl. Taman Siswa No. 91,-7.810265358,110.3772219,,,,,,,,,,,,,,,,,,
513,Pringgo Hotel,Non Bintang,Melati,9,Jl. Pringgokusuman No. 4 Gedongtengen,-7.79111404,110.3600961,,,,,,,,,,,,,,,,,,
514,PT Ganesha Dwipaya Bhakti hotel Tasneem,Bintang,Bintang Tiga,62,Jl. Bringjen Katamso Ireda,-7.80850564,110.3711673,,,,,,,,,,,,,,,,,,
515,Pujiati Penginapan ,Non Bintang,Melati,4,Jl. Sosrowijayan Kulon GT I/227,-7.790780478,110.3651165,,,,,,,,,,,,,,,,,,
516,Pules Hotal,Non Bintang,Melati,16,Jl. Mataram No. 88,-7.791476849,110.3676662,,,,,,,,,,,,,,,,,,
517,Pulung Agung hotel,Non Bintang,Melati,16,Jl. Parangtritis 69 Sartono MT III/821,-7.819497517,110.3676235,,,,,,,,,,,,,,,,,,
518,Punto Dewo Hotel,Non Bintang,Melati,17,Jl. Dagen No. 46,-7.793262142,110.3632405,,,,,,,,,,,,,,,,,,
519,Puri Ageng Hotel,Non Bintang,Melati,18,Jl. Ireda no. 141,-7.812460437,110.3718928,,,,,,,,,,,,,,,,,,
520,Puri Ganesha Hotel,Non Bintang,Melati,40,Jl. Mangkuyudan No. 51 Matrijeron,-7.821433779,110.3662821,,,,,,,,,,,,,,,,,,
521,Puri Hotel,Non Bintang,Melati,14,Jl. Sosrokusuman DN I/178,-7.793665872,110.3670487,,,,,,,,,,,,,,,,,,
522,Puri Minggiran Guesthouse,Non Bintang,Akomodasi Lain,7,Minggiran Baru No. 962,-7.820713418,110.3597875,,,,,,,,,,,,,,,,,,
523,Puri Pangeran Hotel,Non Bintang,Melati,41,Jl. Masjid No. 7 Pakualaman,-7.800563142,110.3746208,,,,,,,,,,,,,,,,,,
524,Puri Pertiwi,Non Bintang,Melati,12,Jl. Prawirotaman MG III/171,-7.818334149,110.36911,,,,,,,,,,,,,,,,,,
525,Puri Phunix Homestay,Non Bintang,Pondok Wisata,4,Jl. Bayangkara NG-1 Gang Buntu Ngampilan,-7.799126427,110.3616971,,,,,,,,,,,,,,,,,,
526,Puri Tumenggung Hotel,Non Bintang,Melati,29,Jl. Masjid No. 7 Pakualaman,-7.800204276,110.374948,,,,,,,,,,,,,,,,,,
527,Purwokinanti Homestay Bambang,Non Bintang,Pondok Wisata,2,Purwokinanti PA 1/169,-7.799323957,110.3739689,,,,,,,,,,,,,,,,,,
528,Pusaka Hotel,Non Bintang,Melati,11,Jl. Ketandan Wetan No. 43,-7.794318367,110.3683114,,,,,,,,,,,,,,,,,,
529,Puspa Jaya Homestay,Non Bintang,Pondok Wisata,4,Gedongkiwo MJ I/790 RT 43/RW 09,-7.813875913,110.3529846,,,,,,,,,,,,,,,,,,
530,Puspita hotel,Non Bintang,Melati,19,Jl. mayjen Sutoyo No. 64,-7.814611431,110.3666,,,,,,,,,,,,,,,,,,
531,Puspo Nugroho Hotel,Non Bintang,Melati,30,Sosrokusuman DN I/187,-7.79409702,110.3676449,,,,,,,,,,,,,,,,,,
532,Putra Jaya Guesthouse,Non Bintang,Pondok Wisata,4,Gedongkiwo MJ I/790 RT 43/RW 09,-7.815396231,110.3553574,,,,,,,,,,,,,,,,,,
533,Putra Sabar Hotel,Non Bintang,Melati,42,Jl. Jlagran No. 23,-7.799207171,110.3708207,,,,,,,,,,,,,,,,,,
534,Pyreness Hotel,Bintang,Bintang Dua,28,Jl. Sosrowijayan No. 1,-7.791622711,110.3656056,,,,,,,,,,,,,,,,,,
535,R. Kumala Penginapan,Non Bintang,Pondok Wisata,10,Jl. Mangkuyudan No. 65,-7.821784021,110.3667201,,,,,,,,,,,,,,,,,,
536,Raditya Wisma Eddy Sulistyono,Non Bintang,Melati,27,Jl. Surosutan 2A,-7.816510257,110.378137,,,,,,,,,,,,,,,,,,
537,Raintree Boutique Villa & Gallery,Non Bintang,Akomodasi Lain,6,Melati Weran No. 42 RT 054/RW 014,-7.793006631,110.3662673,,,,,,,,,,,,,,,,,,
538,Rajadani Ackni Hotel,Non Bintang,Melati,22,Jl. Jagalan No. 6,-7.800781776,110.3716336,,,,,,,,,,,,,,,,,,
539,Rama Hotel,Non Bintang,Melati,19,Jl. Sosrowijayan No. 16,-7.789700635,110.3647347,,,,,,,,,,,,,,,,,,
540,Ramli Homestay,Non Bintang,Akomodasi Lain,5,Puri Dukuh Asri A4-6,-7.823153735,110.352953,,,,,,,,,,,,,,,,,,
541,Red Palm Losmen,Non Bintang,Melati,7,Sosrowijayan Wetan GT 1 No. 62,-7.79056404,110.3640755,,,,,,,,,,,,,,,,,,
542,Rejeki Homestay,Non Bintang,Pondok Wisata,6,Sosrowijayan Wetan GT I/70,-7.79065171,110.3650677,,,,,,,,,,,,,,,,,,
543,Rejeki Homestay 2,Non Bintang,Akomodasi Lain,8,Sosrowijayan Wetan GT I/98 RT 07/RW 02,-7.7908363,110.3649926,,,,,,,,,,,,,,,,,,
544,Renaya Griya Guesthouse,Non Bintang,Akomodasi Lain,3,Pakel Baru Selatan No. 13 C Gang Belimbing Dagaran,-7.821251218,110.3797208,,,,,,,,,,,,,,,,,,
545,Rene Hotel,Non Bintang,Melati,16,Jl. P Mangkubumi 57/59,-7.785863397,110.3664528,,,,,,,,,,,,,,,,,,
546,respati Kasih Hotel,Non Bintang,Melati,27,Jl. Surokarsan No. 17,-7.804029625,110.377295,,,,,,,,,,,,,,,,,,
547,Restu Hotel,Non Bintang,Melati,30,Jl. Batikan No. 7,-7.81567999,110.3831277,,,,,,,,,,,,,,,,,,
548,Retno Mudo Losmen,Non Bintang,Melati,45,Jl. Veteran No. 200,-7.815746602,110.386131,,,,,,,,,,,,,,,,,,
549,Ridho Mas Hotel,Non Bintang,Melati,12,Sosrowijayan Wetan GT 1/86 RT 07/RW 02,-7.79103587,110.3633635,,,,,,,,,,,,,,,,,,
550,Riyadi Penginapan,Non Bintang,Akomodasi Lain,3,Sosrowijayan Kulon GT I/217,-7.791633341,110.3655842,,,,,,,,,,,,,,,,,,
551,Roemah Canting Homestay,Non Bintang,Pondok Wisata,11,Jl. Cantel No. 12 Mujamuju Umbulharjo,-7.793855201,110.3880839,,,,,,,,,,,,,,,,,,
552,Roemah Eyang Heritage House,Non Bintang,Melati,9,Kemetiran Kidul GT II No. 726,,,,,,,,,,,,,,,,,,,,
553,Roemah Oma Guesthouse,Non Bintang,Melati,9,Jl. Melati Wetan no. 13 Baciro,,,,,,,,,,,,,,,,,,,,
554,Rosalia Indah Hotel,Bintang,Bintang Dua,38,Jl. Veteran No. 180 A,,,,,,,,,,,,,,,,,,,,
555,Royal Darmo Malioboro Hotel,Bintang,Bintang Empat,50,Jl. Kemetiran Kidul No. 54,,,,,,,,,,,,,,,,,,,,
556,Ruba Graha Hotel,Non Bintang,Melati,46,Jl. Mangkuyudan No. 1,,,,,,,,,,,,,,,,,,,,
557,Rumah Dharma 3 Graha Timoho,Non Bintang,Akomodasi Lain,10,Timoho 2 No. 26,,,,,,,,,,,,,,,,,,,,
558,Rumah Eyang,Non Bintang,Akomodasi Lain,10,Parangtritis Gang Sartono No. 823,,,,,,,,,,,,,,,,,,,,
559,Rumah Haryono,Non Bintang,Akomodasi Lain,10,Ngampilan NG 1/245,,,,,,,,,,,,,,,,,,,,
560,Rumah jawa Guesthouse,Non Bintang,Pondok Wisata,16,Mergangsan Lor MG 2/1081,,,,,,,,,,,,,,,,,,,,
561,Rumah Jokteng Homestay,Non Bintang,Pondok Wisata,3,Jl. Parangtritis no. 17,,,,,,,,,,,,,,,,,,,,
562,Rumah kita B n B,Non Bintang,Akomodasi Lain,5,Ngadinegaran Gang Cempaka Mj 111/45,,,,,,,,,,,,,,,,,,,,
563,Rumah Nagan Homestay,Non Bintang,Akomodasi Lain,10,Nagan Lor No. 1 RT 23/RW 06,,,,,,,,,,,,,,,,,,,,
564,Rumah Pansaitan Homestay,Non Bintang,Pondok Wisata,5,DI Panjaitan No. 42,,,,,,,,,,,,,,,,,,,,
565,Rumah Roso homestay,Non Bintang,Pondok Wisata,10,Jl. Langenarjan Kidul No. 5B,,,,,,,,,,,,,,,,,,,,
566,Rumah Teko,Non Bintang,Pondok Wisata,1,Tejokusuman NG II/423,,,,,,,,,,,,,,,,,,,,
567,Rumah Wukih Penginapan,Non Bintang,Akomodasi Lain,5,Keparakan Kidul Gang Sobari No. 1331 B,,,,,,,,,,,,,,,,,,,,
568,Rumah Yogya 456,Non Bintang,Melati,10,Jl. Ipda tut Harsono no. 51,,,,,,,,,,,,,,,,,,,,
569,Rumah Yogya Homestay,Non Bintang,Akomodasi Lain,6,Pugeran MJ II/331 RT 13/RW 04,,,,,,,,,,,,,,,,,,,,
570,S 5 Guesthouse,Non Bintang,Akomodasi Lain,14,Surokarsan No. 5,,,,,,,,,,,,,,,,,,,,
571,Sabana homestay,Non Bintang,Pondok Wisata,8,Kepuh GK 3/878,,,,,,,,,,,,,,,,,,,,
572,Sae Sae Hostel,Non Bintang,Akomodasi Lain,6,Ngadinegaran MJ III/46 Gang Cempaka,,,,,,,,,,,,,,,,,,,,
573,Safana Hotel,Non Bintang,Melati,15,Jl. Veteran no. 161,,,,,,,,,,,,,,,,,,,,
574,Safari Hotel,Non Bintang,Melati,11,Bausasran DN III No. 968,,,,,,,,,,,,,,,,,,,,
575,Sagan hotel Yogyakarta,Bintang,Bintang Dua,39,Jl. Kartini No. 4,,,,,,,,,,,,,,,,,,,,
576,Sagan Huis Hotel Yogyakarta,Non Bintang,Melati,16,Jl. Sagan Kidul No. 6,,,,,,,,,,,,,,,,,,,,
577,Sakura Hotel,Non Bintang,Melati,20,Jl. Ronodigdayan No. 63,,,,,,,,,,,,,,,,,,,,
578,Sakura Hotel ,Non Bintang,Melati,12,Jl. Sosrowijayan GT I/59,,,,,,,,,,,,,,,,,,,,
579,Sala 1 Hotel,Non Bintang,Melati,26,Jl. Munggur no. 42 RT 15/RW 05 Demangan,,,,,,,,,,,,,,,,,,,,
580,Sala 3 Hotel,Non Bintang,Melati,30,Jl. Prof Dr. H. Yohanes GK V/1060,,,,,,,,,,,,,,,,,,,,
581,Sala 4 Hotel,Non Bintang,Melati,10,Jl. Dagen no. 48,,,,,,,,,,,,,,,,,,,,
582,Sambal Villa,Non Bintang,Akomodasi Lain,5,Ngadinegaran MJ III/110,,,,,,,,,,,,,,,,,,,,
583,Sanca Hotel,Non Bintang,Melati,15,Jl. Sugeng Jeroni No. 70,,,,,,,,,,,,,,,,,,,,
584,Santalum hotel,Non Bintang,Melati,20,Jl. Parangtritis Gang sartono Mantrijeron III/826,,,,,,,,,,,,,,,,,,,,
585,Santika Premiere Jogja Hotel,Non Bintang,Bintang Empat,147,Jl. Jend. Sudirman No. 19,,,,,,,,,,,,,,,,,,,,
586,Santoso hotel,Non Bintang,Melati,15,Jl. Imogiri Timur No. 175,,,,,,,,,,,,,,,,,,,,
587,Sapta Gria hotel,Non Bintang,Melati,15,Jl. Jend. sudirman No.63,,,,,,,,,,,,,,,,,,,,
588,Sargede Wisma,Non Bintang,Melati,32,Jl. Pramuka No. 5 F,,,,,,,,,,,,,,,,,,,,
589,Sari Homestay,Non Bintang,Pondok Wisata,7,Sosrowijayan Wetan GT I/97,,,,,,,,,,,,,,,,,,,,
590,Sartika Hotel,Non Bintang,Melati,16,jl. prawirotaman No. 44,,,,,,,,,,,,,,,,,,,,
591,Sartika Hotel,Non Bintang,Melati,96,Jl. RE Martadinata No. 21,,,,,,,,,,,,,,,,,,,,
592,Sastro Inn,Non Bintang,Pondok Wisata,7,Jl. KH Ahmad Dahlan Ngadiwinatan NG I/1174,,,,,,,,,,,,,,,,,,,,
593,Sastrowihadi losmen,Non Bintang,Melati,12,Sosrowijayan Wetan GT I No. 66,,,,,,,,,,,,,,,,,,,,
594,Satya Graha Hotel,Non Bintang,Melati,75,Veteran No. 147,,,,,,,,,,,,,,,,,,,,
595,S-Chott Hotel,Non Bintang,Melati,19,Jl. Dagen No. 57,,,,,,,,,,,,,,,,,,,,
596,Sekar Ayu hotel,Non Bintang,Melati,20,Jl. Abu Bakar Ali No. 8 Kotabaru,,,,,,,,,,,,,,,,,,,,
597,Selaras Inn Hotel,Non Bintang,Melati,15,Jl. Sosrowijayan No. 45,,,,,,,,,,,,,,,,,,,,
598,Selecta Hotel,Non Bintang,Melati,10,Sosrowijayan Wetan GT I No. 150,,,,,,,,,,,,,,,,,,,,
599,Semo Rejo Abadi Penginapan,Non Bintang,Akomodasi Lain,6,Teratai GG Kelenei GK 4/1128,,,,,,,,,,,,,,,,,,,,
600,Seno Hotel,Non Bintang,Melati,,,,,,,,,,,,,,,,,,,,,,
601,Septia Hotel ,Bintang,Bintang Dua,38,Jl. Pringgokusuman No. 22A,,,,,,,,,,,,,,,,,,,,
602,Seribu Satu Malam Hotel,Non Bintang,Melati,16,Sosrowijayan Wetan Gt I/57,,,,,,,,,,,,,,,,,,,,
603,Setia Backpacker,Non Bintang,Akomodasi Lain,19,Sosrowijayan Wetan GT I/146 Gang 2,,,,,,,,,,,,,,,,,,,,
604,Setia Kawan Losmen,Non Bintang,Melati,10,Sosrowijayan Wetan GT I/58A RT 09/RW 02,,,,,,,,,,,,,,,,,,,,
605,Sewu Bengi Penginapan,Non Bintang,Pondok Wisata,7,Menukan MG III/300 Karangkajen,,,,,,,,,,,,,,,,,,,,
606,Shafira Hotel,Non Bintang,Melati,30,Jl. Letjen Soeprapto No. 127A,,,,,,,,,,,,,,,,,,,,
607,Simple Homestay,Non Bintang,Akomodasi Lain,4,Pasar Kembang 33 RT 13/RW 02,,,,,,,,,,,,,,,,,,,,
608,Simply Home Guesthouse Unit Wirosaban,Non Bintang,Akomodasi Lain,4,Wirosaban Barat Kav 5,,,,,,,,,,,,,,,,,,,,
609,Simply Home Malioboro,Non Bintang,Akomodasi Lain,6,Tegalpanggung No. 32,,,,,,,,,,,,,,,,,,,,
610,Simply Homy guesthouse Malioboro I,Non Bintang,Melati,3,Jl. Tegalpanggung No. 44,,,,,,,,,,,,,,,,,,,,
611,Simply Homy Homestay,Non Bintang,Akomodasi Lain,4,Umbul III,,,,,,,,,,,,,,,,,,,,
612,Simply Homy Unit Bintaran,Non Bintang,Akomodasi Lain,6,Bintaran Kidul No. 26,,,,,,,,,,,,,,,,,,,,
613,Sinar Mawar Putih Penginapan,Non Bintang,Melati,15,Jl. Batikan no. 100,,,,,,,,,,,,,,,,,,,,
614,Sis Ningsih Homestay ,Non Bintang,Akomodasi Lain,2,Sosrowijayan Wetan GT I/104,,,,,,,,,,,,,,,,,,,,
615,Sis Bagyo Homestay,Non Bintang,Akomodasi Lain,2,Sosrowijayan Wetan GT I/104,,,,,,,,,,,,,,,,,,,,
616,Sky Hotel,Bintang,Bintang Satu,21,Jl. Hayam Wuruk No. 51,,,,,,,,,,,,,,,,,,,,
617,Snooze Homestay,Non Bintang,Akomodasi Lain,11,Mangunnegaran Kulon No. 9,,,,,,,,,,,,,,,,,,,,
618,Sofyan Inn Hotel Unisi,Bintang,Bintang Dua,71,Jl. Pasar Kembang No. 42,,,,,,,,,,,,,,,,,,,,
619,Sri Kencono Hotel,Non Bintang,Melati,35,Jl. Batikan No. 1 A,,,,,,,,,,,,,,,,,,,,
620,Sri Manganti Hotel,Non Bintang,Melati,17,Jl. Urip Sumoharjoo No. 101,,,,,,,,,,,,,,,,,,,,
621,Sri Timur Hotel,Non Bintang,Melati,20,Jl. Parangtritis No. 69,,,,,,,,,,,,,,,,,,,,
622,Sri Wijaya Hotel,Non Bintang,Melati,6,Jl. Kemetiran Kidul No. 23,,,,,,,,,,,,,,,,,,,,
623,Srikandi Hotel,Non Bintang,Melati,10,Badran JT I/52A,,,,,,,,,,,,,,,,,,,,
624,Sriwijaya 2 Hotel,Non Bintang,Melati,12,Jl. Gandekan lor No. 3,,,,,,,,,,,,,,,,,,,,
625,Stay Alkid rika,Non Bintang,Pondok Wisata,3,Jl. Langenastran Lor No. 6C,,,,,,,,,,,,,,,,,,,,
626,Suma Homestay,Non Bintang,Pondok Wisata,4,Sosrowijayan Wetan GT I/159 RT 11/RW 02,,,,,,,,,,,,,,,,,,,,
627,Sumaryo Hotel,Non Bintang,Melati,28,Jl. Prawirotaman No. 22,,,,,,,,,,,,,,,,,,,,
628,Summer Quest Hotel,Non Bintang,Melati,40,Jl. Sosrowijayan Gang Sosromeduran,,,,,,,,,,,,,,,,,,,,
629,Summer Season Boutique hotel,Non Bintang,Melati,45,Jl. Sosrowijayan No. 6,,,,,,,,,,,,,,,,,,,,
630,Sunarko Hotel,Non Bintang,Melati,16,Jl. Parangtritis No. 105,,,,,,,,,,,,,,,,,,,,
631,Supalana Hotel,Non Bintang,Melati,14,Sosrowijayan Wetan GT I/151,,,,,,,,,,,,,,,,,,,,
632,Supermen Losmen,Non Bintang,Melati,12,Sosrowijayan Wetan GT I No. 99,,,,,,,,,,,,,,,,,,,,
633,Surya Citra Jogja Hotel,Non Bintang,Melati,50,Jl. Veteran no. 143,,,,,,,,,,,,,,,,,,,,
634,Surya Putri hotel,Non Bintang,Melati,25,Jl. Tukangan No. 29,,,,,,,,,,,,,,,,,,,,
635,Surya Puri Hotel,Non Bintang,Melati,16,Jl. Suryatmajan No. 39,,,,,,,,,,,,,,,,,,,,
636,Suryo Losmen,Non Bintang,Melati,7,Sosrowijayan Wetan GT I/145 RT 017/RW 002,,,,,,,,,,,,,,,,,,,,
637,Sweet Home Homestay,Non Bintang,Pondok Wisata,11,Pajeksan Lor GT I/164,,,,,,,,,,,,,,,,,,,,
638,Swiss Bel Boutique Hotel,Bintang,Bintang Empat,122,Jl. Jend. Sudirman No. 69,,,,,,,,,,,,,,,,,,,,
639,Syafalla Gh,Non Bintang,Akomodasi Lain,12,Rejowinangun No 26 B RT04/RW 01,,,,,,,,,,,,,,,,,,,,
640,Taman Yuwono Heritage Malioboro,Non Bintang,Melati,10,Jl. Dagen Komplek Taman yuwono No. 11,,,,,,,,,,,,,,,,,,,,
641,Tamansari Hotel,Non Bintang,Melati,19,Jl. Let Jend S Parman No. 5,,,,,,,,,,,,,,,,,,,,
642,Tanjung Hotel,Non Bintang,Melati,7,Jl. Gajah Mada No. 50,,,,,,,,,,,,,,,,,,,,
643,Tapan Wisma,Non Bintang,Melati,7,Jl. HJlagran No. 7,,,,,,,,,,,,,,,,,,,,
644,Tara Hotel,Bintang,Bintang Empat,102,Jl. Magelang no. 129,,,,,,,,,,,,,,,,,,,,
645,Tasik Jogja,Non Bintang,Melati,29,Jl. Bantul No. 47,,,,,,,,,,,,,,,,,,,,
646,Tegalpanggung Guesthouse,Non Bintang,Melati,8,Jl. Tegalpanggung No. 39 Danurejan,,,,,,,,,,,,,,,,,,,,
647,Tentrem Hotel,Bintang,Bintang Lima,274,Jl. AM Sangaji No 72 A,,,,,,,,,,,,,,,,,,,,
648,Terban Jusup Penginapan,Non Bintang,Pondok Wisata,13,Terban GK 5/410 RT 14/ RW 03,,,,,,,,,,,,,,,,,,,,
649,The 101 Yogyakarta Tugu,Bintang,Bintang Empat,150,Jl. Margo Utomo No. 103,,,,,,,,,,,,,,,,,,,,
650,The 1061 Home Hotel And Residence,Non Bintang,Melati,9,Jl. Prof. Dr. Supomo,,,,,,,,,,,,,,,,,,,,
651,The Cabin Hotel,Non Bintang,Melati,19,Jl. Gandekan Lor No. 2,,,,,,,,,,,,,,,,,,,,
652,The Cube Hotel,Bintang,Bintang Tiga,60,Jl. Parangtritis No. 16,,,,,,,,,,,,,,,,,,,,
653,The Deep Purple Homestay,Non Bintang,Pondok Wisata,17,Gedongkiwo MJ 1/784,,,,,,,,,,,,,,,,,,,,
654,The Grand Palace Hotel,Bintang,Bintang Tiga,62,Jl. Mangkuyudan no. 32,,,,,,,,,,,,,,,,,,,,
655,The Journey Hotel,Non Bintang,Melati,13,Sorosutan No. 2E,,,,,,,,,,,,,,,,,,,,
656,The Kresna Hotel,Non Bintang,Melati,7,Jl. D I Panjaitan No. 52,,,,,,,,,,,,,,,,,,,,
657,The Munajat Backpacker Hotel,Non Bintang,Melati,5,Jl. Malioboro No 26 Sosrokusuman DN I,,,,,,,,,,,,,,,,,,,,
658,The packer Lodge,Non Bintang,Melati,14,Dagen No. 3,,,,,,,,,,,,,,,,,,,,
659,The Phoenix/Grand Mercure Hotel,Bintang,Bintang Lima,153,Jl. Jend. Sudirman No. 9,,,,,,,,,,,,,,,,,,,,
660,The Srikandi Hotel,Non Bintang,Melati,10,Jl. Kebon Dalem 2A Mangkubumi,,,,,,,,,,,,,,,,,,,,
661,The Wayang Homestay,Non Bintang,Pondok Wisata,5,Jl. D I Panjaitan Minggiran GG. Pisang No 1017,,,,,,,,,,,,,,,,,,,,
662,Tickle Hotel,Bintang,Bintang Dua,44,Jl. Urip Sumoharjo No. 64,,,,,,,,,,,,,,,,,,,,
663,Tiffa Losmen Gandi,Non Bintang,Akomodasi Lain,9,Sosrowijayan wetan Gang II GT II/122,,,,,,,,,,,,,,,,,,,,
664,Tiga Lima Hoestay Sela Mirsa Sari,Non Bintang,Pondok Wisata,10,Jl. Affandi Kepuh GK 3/973,,,,,,,,,,,,,,,,,,,,
665,Timur Hotel,Non Bintang,Melati,30,Jl. Gedong Kuning Pilahan 142,,,,,,,,,,,,,,,,,,,,
666,Tirta Sanita Hotel,Non Bintang,Melati,22,Jl. Pramuka No. 30 Umbulharjo,,,,,,,,,,,,,,,,,,,,
667,Tirto 27 Guest House,Non Bintang,Pondok Wisata,7,Jl. Tirtodipuran No. 27,,,,,,,,,,,,,,,,,,,,
668,Tjokro Style Yogyakarta Hotel,Bintang,Bintang Tiga,99,Jl. Menteri Supeno No. 48 Umbulharjo,,,,,,,,,,,,,,,,,,,,
669,Top Malioboro Hotel Zodiak Hotel,Bintang,Bintang Dua,81,Jl. Hos Cokroaminoto No. 145,,,,,,,,,,,,,,,,,,,,
670,TPY Hotel,Non Bintang,Melati,14,Jl. Kyai Guno Mrico Kampung Mrican,,,,,,,,,,,,,,,,,,,,
671,Tribata Hotel,Non Bintang,Melati,27,Jl. Tribata No. 2B,,,,,,,,,,,,,,,,,,,,
672,Trim Satu Hotel,Non Bintang,Melati,16,Jl. Am Sangaji No. 37 Jetis,,,,,,,,,,,,,,,,,,,,
673,Tropis Homestay,Non Bintang,Melati,10,Jl. Prawirotaman I No. 5A,,,,,,,,,,,,,,,,,,,,
674,Tulips Hotel Rest,Non Bintang,Melati,12,Jl. Tirtodipuran No. 42,,,,,,,,,,,,,,,,,,,,
675,Uniq Hotel,Bintang,Bintang Dua,53,Jl. Magelang No. 61 Kricak,,,,,,,,,,,,,,,,,,,,
676,Usaha Penginapan Sigit,Non Bintang,Pondok Wisata,6,mantrijeron MJ 3/911,,,,,,,,,,,,,,,,,,,,
677,Utar Losmen,Non Bintang,Akomodasi Lain,14,Sosrowijayan Wetan GT 1/161,,,,,,,,,,,,,,,,,,,,
678,Utara Hotel,Non Bintang,Melati,26,Jl. Magelang No. 25,,,,,,,,,,,,,,,,,,,,
679,Vala Hotel,Bintang,Bintang Satu,18,Jl. Bausasran No. 2,,,,,,,,,,,,,,,,,,,,
680,Venezia Homestay,Non Bintang,Pondok Wisata,9,Jl. Surami No. 55,,,,,,,,,,,,,,,,,,,,
681,Via Via Guest House,Non Bintang,Melati,10,Jl. Prawirotaman MG III/514A,,,,,,,,,,,,,,,,,,,,
682,Violet Hotel,Non Bintang,Melati,33,Jl. Bhayangkara GK I No. 1133,,,,,,,,,,,,,,,,,,,,
683,Virgo Hotel,Non Bintang,Melati,6,Sosrowijayan Wetan GT I/148,,,,,,,,,,,,,,,,,,,,
684,Virgo Sentot Losmen,Non Bintang,Akomodasi Lain,6,Sosrowijayan Wetan GT 1/125,,,,,,,,,,,,,,,,,,,,
685,Wakeup Homestay,Non Bintang,Melati,2,Jl. Gandekan Lor No. 44,,,,,,,,,,,,,,,,,,,,
