NO,NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude,X,Y,,,,,,,,,,,,,,,,
73,Bhinneka Hotel,Non Bintang,Melati,70,Jl. Margo Utomo No. 38,-7.782252,110.36704,430210.4356,9139722.206,,,,,,,,,,,,,,,,
74,Bhumi Hostel,Non Bintang,Pondok Wisata,5,Jl. Raden Ronggo 14,-7.823205,110.39607,433417.8527,9135199.265,,,,,,,,,,,,,,,,
75,Bilik Bamboo Homestay,Non Bintang,Pondok Wisata,2,Timuran No. 90,-7.81706,110.36887,430417.9705,9135874.239,,,,,,,,,,,,,,,,
76,Bimo Homestay,Non Bintang,Pondok Wisata,3,Sosrowijayan No. 114 ,-7.790984,110.364363,429916.7115,9138756.379,,,,,,,,,,,,,,,,
77,Bina Sari Hotel,Non Bintang,Melati,6,Jl. Veteran No. 202,-7.815743156,110.3859835,432304.5905,9136022.614,,,,,,,,,,,,,,,,
78,Bintang Agung Hotel,Non Bintang,Melati,18,Jl. Parangtritis 30/42,-7.816747632,110.3679543,430316.9547,9135908.622,,,,,,,,,,,,,,,,
79,Bintang Fajar Hotel,Non Bintang,Pondok Wisata,31,Jl. Perintis Kemerdekaan No. 87,-7.818308374,110.3940255,433191.6607,9135740.296,,,,,,,,,,,,,,,,
80,Biyooshy Homestay,Non Bintang,Pondok Wisata,7,Jl. Dagen No. 4,-7.793030312,110.361523,429603.9124,9138529.673,,,,,,,,,,,,,,,,
81,Bladok Hotel,Non Bintang,Melati,36,Jl. Sosrowijayan No.76,-7.791146219,110.362747,429738.5619,9138738.176,,,,,,,,,,,,,,,,
82,Blue Safir Hotel,Non Bintang,Melati,19,Jl. Dagen No. 18-22,-7.793380423,110.3640584,429883.5205,9138491.387,,,,,,,,,,,,,,,,
83,Borobudur Guest House,Non Bintang,Pondok Wisata,6,Prawirotaman No. 5,-7.818628487,110.3691184,430445.6196,9135700.873,,,,,,,,,,,,,,,,
84,Bougenville Villa,Non Bintang,Pondok Wisata,2,Ngadinegaran MJ III No. 84,-7.827313237,110.4002381,433878.0391,9134745.73,,,,,,,,,,,,,,,,
85,Brawijaya Hotel,Non Bintang,Melati,12,Jl. Gambiran No. 1,-7.814276697,110.3917722,432942.5831,9136185.666,,,,,,,,,,,,,,,,
86,Bring In House Home Stay,Non Bintang,Akomodasi Lain,5,Pugeran Timur,-7.814869056,110.3592066,429352.1727,9136114.855,,,,,,,,,,,,,,,,
87,Brosta Hotel,Non Bintang,Melati,10,Jl. Ontorejo No. 4,-7.803060766,110.3534211,428712.287,9137419.374,,,,,,,,,,,,,,,,
88,Bu Purwo Losmen,Non Bintang,Melati,7,Sosrowijayan Wetan GT I/100,-7.790130891,110.3650707,429994.6007,9138850.814,,,,,,,,,,,,,,,,
89,Bugis Asri Hotel,Non Bintang,Melati,14,Jl. Sugeng Jeroni No. 46,-7.811816195,110.3517249,428526.7595,9136451.11,,,,,,,,,,,,,,,,
90,Bugisan Hotel,Non Bintang,Melati,26,Jl. Sugeng Jeroni No. 48,-7.811860629,110.3514728,428498.973,9136446.155,,,,,,,,,,,,,,,,
91,Bukit Uhud Syariah Hotel,Non Bintang,Melati,20,Jl. Sidokabul No. 15 Sorosutan,-7.817243315,110.381644,431826.3855,9135856.061,,,,,,,,,,,,,,,,
92,Bunga Guest House Jumiyanto,Non Bintang,Pondok Wisata,12,Jl. Nitikan Baru No 11 Pandeyan Umbulharjo,-7.81781372,110.383349,432014.4605,9135793.275,,,,,,,,,,,,,,,,
93,Burza Hotel,Bintang,Bintang Tiga,101,Jl. Jogokariyan No. 63,-7.823547048,110.3666789,430177.4689,9135156.687,,,,,,,,,,,,,,,,
94,Cabin Hotel,Non Bintang,Melati,25,Jl. Dr. Sutomo No. 2,-7.823393248,110.3666369,430172.8203,9135173.684,,,,,,,,,,,,,,,,
95,Cabin Hotel,Non Bintang,Melati,16,Jl. Bhayangkara 11,-7.800269877,110.3618851,429645.0489,9137729.348,,,,,,,,,,,,,,,,
96,Cahaya Homestay,Non Bintang,Akomodasi Lain,17,Tohpati No. 64,-7.811447492,110.3812151,431778.1624,9136496.759,,,,,,,,,,,,,,,,
97,Cahaya Kasih Hotel,Non Bintang,Melati,12,"Jl. Malioboro, Sosrowijayan Wetan GT I/280",-7.791939252,110.3652493,430014.5906,9138650.916,,,,,,,,,,,,,,,,
98,Cailendra Guest House,Non Bintang,Melati,15,Jl. Taman Siswa No. 91,-7.810171965,110.3772925,431345.4569,9136637.141,,,,,,,,,,,,,,,,
99,Calegesco Melati Satu Hotel,Non Bintang,Melati,26,Jl. Hos Cokroaminoto No. 159,-7.789639888,110.3533482,428701.9836,9138903.138,,,,,,,,,,,,,,,,
100,Candi Losmen,Non Bintang,Melati,10,Jl. Pasar Kembang No. 5,-7.789952389,110.3654419,430035.5049,9138870.61,,,,,,,,,,,,,,,,
101,Candra Dewi Hotel,Non Bintang,Melati,40,Jl. Kol. Sugiyono No. 23 Keparakan,-7.814439614,110.3710409,430656.8835,9136164.299,,,,,,,,,,,,,,,,
102,Candra Kirana Hotel,Non Bintang,Melati,22,Jl. Parangtritis No. 108,-7.821604005,110.3676708,430286.5072,9135371.669,,,,,,,,,,,,,,,,
103,Caniga Hotel,Non Bintang,Melati,39,Jl. Kyai Guno Mrico 9,-7.834692646,110.3941213,433204.8297,9133928.921,,,,,,,,,,,,,,,,
104,Cantya Hotel,Non Bintang,Melati,56,Jl. Sisingamangaraja No. 21A,-7.821984721,110.3735994,430940.2205,9135330.555,,,,,,,,,,,,,,,,
105,Casa Rafles,Non Bintang,Pondok Wisata,4,Jl. KH Ahmad Dahlan Purwodiningratan NG I/915,-7.800739865,110.3578066,429195.4309,9137676.705,,,,,,,,,,,,,,,,
106,Cavinton Hotel,Bintang,Bintang Empat,200,Jl. Letjend Suprapto No. 1 Ngampilan,-7.800563212,110.3558658,428981.42,9137695.909,,,,,,,,,,,,,,,,
107,Cempaka Hotel,Non Bintang,Melati,34,Jl. Taman Siswa No. 75,-7.808580664,110.3773762,431354.4317,9136813.084,,,,,,,,,,,,,,,,
108,Cepuri Hotel,Non Bintang,Melati,18,Karang Kajen MG 3 No. 838,-7.819882672,110.3706925,430619.3712,9135562.473,,,,,,,,,,,,,,,,
109,Ceria Hotel,Non Bintang,Melati,16,Jl. Ibu Ruswo No. 57,-7.803341225,110.3685637,430381.9303,9137390.896,,,,,,,,,,,,,,,,
110,Checkly Homestay,Non Bintang,Akomodasi Lain,3,Pujokusuman MG I No. 413,-7.813110553,110.3708945,430640.5278,9136311.212,,,,,,,,,,,,,,,,
111,Chendela Guest House,Non Bintang,Akomodasi Lain,6,Panembahan Mangkurat No. 10,-7.806836221,110.366693,430176.2465,9137004.19,,,,,,,,,,,,,,,,
112,Cinka Garini Hotel,Non Bintang,Melati,39,Jl. Nitikan Baru No. 30,-7.818364958,110.3825928,431931.1794,9135732.209,,,,,,,,,,,,,,,,
113,Citra Dream Hotel,Bintang,Bintang Dua,110,Jl. AM Sangaji No. 28 Cokrodiningratan,-7.779958853,110.3677107,430284.0129,9139975.839,,,,,,,,,,,,,,,,
114,Citra Hotel,Non Bintang,Melati,28,Jl. Janturan No. 14,-7.803542796,110.3902627,432774.4414,9137372.129,,,,,,,,,,,,,,,,
115,Citra Indah Hotel,Non Bintang,Melati,27,Jl. Letjend Suprapto No. 111,-7.79269165,110.356698,429071.8503,9138566.307,,,,,,,,,,,,,,,,
116,Citra Kita Hotel,Non Bintang,Melati,12,Jl. Poncowinatan 79-81,-7.781917454,110.361108,429556.296,9139758.209,,,,,,,,,,,,,,,,
117,Cordela Kartika Dewi Hotel,Bintang,Bintang Dua,68,Jl. Bhayangkara No. 35,-7.798067945,110.3617981,429635.0835,9137972.772,,,,,,,,,,,,,,,,
118,Cristalit Hotel,Non Bintang,Melati,14,Jl. Prawirotaman 2 MG III/633,-7.819857733,110.3694741,430485.0421,9135565.03,,,,,,,,,,,,,,,,
119,Dafam Fortuna,Bintang,Bintang Tiga,94,Jl. Dagen No. 60,-7.79320319,110.3628597,429751.3263,9138510.782,,,,,,,,,,,,,,,,
120,Dahlia Guest House,Non Bintang,Akomodasi Lain,11,Jl. Veteran Gang Manunggal No. 2 Kebrokan,-7.815322741,110.3895749,432700.4925,9136069.669,,,,,,,,,,,,,,,,
121,Dana Penginapan,Non Bintang,Melati,17,Mantrijeron MJ 3/837 RT 57 RW 15,-7.819340231,110.3656011,430057.941,9135621.602,,,,,,,,,,,,,,,,
122,Darma Putra Baciro,Non Bintang,Akomodasi Lain,12,Andong No. 01 Baciro,-7.794936783,110.3828694,431957.8781,9138322.397,,,,,,,,,,,,,,,,
123,De Hostel Homestay,Non Bintang,Pondok Wisata,8,Jl. Prawirotaman 1 Gang Batik Gringsing No. 1,-7.818476658,110.3700251,430545.5633,9135717.808,,,,,,,,,,,,,,,,
124,De Laxston Hotel,Bintang,Bintang Tiga,71,Jl. Urip Sumoharjo No. 139A,-7.782775645,110.3871717,432430.3041,9139667.581,,,,,,,,,,,,,,,,
125,Deep Purple 3,Non Bintang,Akomodasi Lain,4,Gedongkiwo MJ I/ RT 54 RW 11,-7.816300586,110.3545641,428840.551,9135955.808,,,,,,,,,,,,,,,,
126,Delta Homestay,Non Bintang,Melati,14,Jl. Prawirotaman 2 MG 3 No. 597 A,-7.819563104,110.3695831,430497.0031,9135597.621,,,,,,,,,,,,,,,,
127,Delta Timoho Regency,Non Bintang,Melati,19,Jl. Timoho No. 3A RT 073 RW 19,-7.791456238,110.3930414,433078.8973,9138708.818,,,,,,,,,,,,,,,,
128,Denadifa Homestay,Non Bintang,Akomodasi Lain,10,Daradasih No. 25,-7.81055647,110.347518,428062.7049,9136589.666,,,,,,,,,,,,,,,,
129,Dewa Homestay,Non Bintang,Akomodasi Lain,5,Sosrowijayan Wetan GT 1 No 154,-7.79107387,110.363584,429830.8289,9138746.314,,,,,,,,,,,,,,,,
130,Dewa Ruci 2 Hotel,Non Bintang,Melati,20,Jl. Imogiri Timur No. 158,-7.828316122,110.3897603,432723.0182,9134633.193,,,,,,,,,,,,,,,,
131,Dewa Ruci 1 Hotel,Non Bintang,Melati,20,Jl. Veteran No. 169,-7.816343902,110.3851274,432210.3003,9135956.059,,,,,,,,,,,,,,,,
132,Dewi Homestay,Non Bintang,Melati,8,Jl. Sosrowijayan Wetan GT 1/115,-7.791162832,110.364408,429921.7084,9138736.615,,,,,,,,,,,,,,,,
133,Dewi Rahayu 1 Penginapan,Non Bintang,Melati,13,Jl. Pasar Kembang No. 7,-7.78977261,110.3653507,430025.4161,9138890.47,,,,,,,,,,,,,,,,
134,Dewi Rahayu 2,Non Bintang,Melati,12,Jl. Jlagran Lor No. 19,-7.789452088,110.3614862,429599.2558,9138925.265,,,,,,,,,,,,,,,,
135,Dewi Sri Hotel,Non Bintang,Melati,18,Jl. Mangkuyudan No. 65,-7.821468547,110.3674902,430266.5762,9135386.615,,,,,,,,,,,,,,,,
136,Dhina Finny Graha,Non Bintang,Melati,8,Jl. Parangtritis MG 3/115E,-7.821319218,110.3683533,430361.7138,9135403.267,,,,,,,,,,,,,,,,
137,Diaga Graha Hotel,Non Bintang,Melati,16,Prawirotaman MG 3/648,-7.820547859,110.3687383,430404.0319,9135488.61,,,,,,,,,,,,,,,,
138,Dian Losmen,Non Bintang,Akomodasi Lain,12,Sosrowijayan Kulon GT I/176,-7.790500018,110.363417,429812.3285,9138809.73,,,,,,,,,,,,,,,,
139,Diana Hotel Jogja,Non Bintang,Melati,56,Tirtodipuran No. 9,-7.817939903,110.363801,429859.2377,9135776.119,,,,,,,,,,,,,,,,
140,Dieng Permai Hotel,Non Bintang,Melati,20,Jl. Bumijo No. 20,-7.785615027,110.3631083,429777.4733,9139349.749,,,,,,,,,,,,,,,,
141,Dina Hotel,Non Bintang,Melati,20,Jl. Parangtritis No. 15,-7.81546056,110.3687734,430407.0509,9136051.053,,,,,,,,,,,,,,,,
142,Diratna Homestay,Non Bintang,Pondok Wisata,6,Kemetiran No. 16 RT 48 RW 13,-7.792174033,110.3603212,429471.2623,9138624.14,,,,,,,,,,,,,,,,
143,Djambu Indah Hotel,Non Bintang,Melati,16,Jl. Mas Suharto No. 16 Tegalpanggung,-7.793637091,110.3703214,430574.1244,9138464.045,,,,,,,,,,,,,,,,
144,Djava Homestay,Non Bintang,Akomodasi Lain,10,Timuran MG 3/104 C,-7.795756984,110.3745821,431044.2575,9138230.374,,,,,,,,,,,,,,,,
145,Doyani Home Syariah,Non Bintang,Pondok Wisata,5,Jl. Poncowolo 13 Ketanggungan Wirobrajan,-7.805252567,110.3463436,427932.3078,9137175.852,,,,,,,,,,,,,,,,
146,DS 681 Home Stay,Non Bintang,Akomodasi Lain,5,Gg. Hansip Karno Waluyo DN 2/681,-7.79060468,110.3715189,430705.6672,9138799.495,,,,,,,,,,,,,,,,
147,Dsenopati Malioboro Grand Hotel,Bintang,Bintang Tiga,108,Jl. Panembahan Senopati No. 40 Prawirodirjan,-7.801555863,110.3700171,430541.8786,9137588.52,,,,,,,,,,,,,,,,
148,Dtalent Hotel,Non Bintang,Melati,24,Prawirotaman MG3,-7.820656184,110.3693109,430467.172,9135476.728,,,,,,,,,,,,,,,,
149,Dumai Family And Guest House,Non Bintang,Pondok Wisata,3,Kauman GM 1/231,-7.805002691,110.3614445,429597.2532,9137206.028,,,,,,,,,,,,,,,,
